,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
56,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
57,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
58,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
59,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
60,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,D,0,0,0
61,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
63,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
64,Portugal,Groups,0,2,No Deposit,87,Transient-Party,A,0,0,0
65,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
66,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
68,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
69,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
70,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
71,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
72,Non Portugal,Groups,1,0,Non Refund,0,Transient,A,0,0,1
74,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
76,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
77,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
78,Non Portugal,Online TA,0,5,No Deposit,0,Transient,D,0,1,0
79,Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,2,1
80,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
81,Portugal,Direct,0,1,No Deposit,0,Transient-Party,E,0,2,0
82,Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,0
84,Portugal,Corporate,0,0,No Deposit,0,Transient,A,1,2,0
85,Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
87,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,0,0
88,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
90,Portugal,Online TA,0,0,No Deposit,0,Transient,D,1,2,0
91,Portugal,Direct,0,0,No Deposit,0,Transient,D,0,2,0
92,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,1,0
93,Portugal,Offline TA/TO,0,0,Non Refund,77,Transient,A,0,0,1
94,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,1,0,0
98,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
99,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
101,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,1,3,0
103,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
105,Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,3,0
106,Portugal,Direct,0,1,No Deposit,0,Transient-Party,A,0,1,0
107,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,2,0
108,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
109,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
110,Portugal,Offline TA/TO,0,0,No Deposit,215,Transient-Party,A,0,0,1
111,Non Portugal,Groups,0,1,No Deposit,0,Transient,A,0,0,0
112,Non Portugal,Online TA,0,1,No Deposit,0,Transient,F,0,0,0
113,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
115,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,1,0
116,Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
117,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
118,Non Portugal,Online TA,0,1,No Deposit,0,Transient,E,1,3,0
119,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
121,Portugal,Direct,0,1,No Deposit,0,Transient,A,0,1,0
122,Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
124,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
125,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
129,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
131,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,E,0,0,0
132,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
133,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
134,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
136,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
137,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,0,0
138,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
139,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
140,Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
141,Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,1,1
142,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
143,Non Portugal,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,0,0,0
144,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,D,0,1,0
146,Portugal,Corporate,0,0,No Deposit,0,Transient,A,0,0,0
147,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
148,Portugal,Offline TA/TO,1,0,No Deposit,0,Transient-Party,A,0,2,1
149,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
150,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
151,Portugal,Groups,1,0,No Deposit,0,Contract,A,0,0,1
152,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
153,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
154,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
157,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
160,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,G,1,2,0
161,Portugal,Corporate,0,0,No Deposit,0,Transient,A,0,0,1
163,Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
164,Portugal,Groups,0,1,No Deposit,0,Transient-Party,D,0,0,1
165,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,D,0,0,0
166,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
167,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
168,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,1,0
169,Portugal,Direct,0,0,No Deposit,0,Transient,E,0,0,0
170,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,1,1,0
171,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,D,0,0,0
172,Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,A,1,0,0
173,Portugal,Direct,1,0,No Deposit,0,Transient,A,0,0,0
174,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
175,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
176,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
177,Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,1
178,Non Portugal,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,0,0,0
179,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
181,Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,1
185,Portugal,Aviation,0,0,No Deposit,0,Transient,D,0,0,0
188,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
190,Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
191,Portugal,Groups,0,0,No Deposit,97,Transient-Party,A,0,1,0
193,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
194,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,1,0
195,Portugal,Direct,0,0,No Deposit,0,Transient,A,0,2,0
197,Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
200,Portugal,Offline TA/TO,1,0,Non Refund,0,Transient,A,0,0,1
202,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
203,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
204,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
205,Portugal,Groups,1,0,Non Refund,0,Transient-Party,A,0,0,1
207,Portugal,Offline TA/TO,1,0,Non Refund,0,Transient-Party,A,0,0,1
209,Non Portugal,Groups,0,3,No Deposit,0,Transient-Party,E,1,0,0
210,Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,1
211,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,3,0
214,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,F,0,1,0
215,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
216,Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
220,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
221,Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
223,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
225,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
227,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,1,1
229,Non Portugal,Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
231,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
234,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
235,Portugal,Direct,0,2,No Deposit,0,Transient,E,0,0,0
238,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,2,0
241,Portugal,Direct,0,0,No Deposit,0,Transient,E,0,1,0
242,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
243,Portugal,Corporate,0,0,No Deposit,0,Transient,A,1,0,0
244,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
246,Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
248,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,0,0
249,Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
250,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,1,0
253,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
256,Portugal,Corporate,0,0,Non Refund,0,Transient,A,0,0,1
258,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
259,Portugal,Complementary,0,1,No Deposit,0,Transient,F,0,1,0
261,Non Portugal,Online TA,0,0,No Deposit,0,Contract,D,0,1,0
263,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
265,Non Portugal,Groups,0,0,No Deposit,0,Transient,A,0,0,0
267,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
268,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,2,0
269,Portugal,Direct,0,3,No Deposit,0,Transient,D,1,1,0
270,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,1,1
271,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,1
272,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
273,Non Portugal,Online TA,0,2,No Deposit,0,Transient,F,0,0,0
274,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
279,Portugal,Online TA,0,0,No Deposit,0,Transient,A,1,3,0
280,Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,0,0
281,Portugal,Offline TA/TO,0,0,No Deposit,162,Transient-Party,A,0,0,1
282,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
283,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,2,0
284,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
285,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
286,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
288,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
289,Non Portugal,Corporate,0,4,No Deposit,0,Transient-Party,A,0,0,0
291,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
292,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
293,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,1,2,0
294,Portugal,Direct,0,1,No Deposit,0,Transient,D,1,0,0
298,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,D,0,0,0
299,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,0,0
301,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
304,Portugal,Corporate,0,0,No Deposit,0,Transient,A,1,1,0
306,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
307,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,2,0
310,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
311,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
313,Portugal,Online TA,0,0,No Deposit,0,Transient,G,1,1,0
314,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
315,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,0,0
319,Portugal,Groups,0,0,Refundable,0,Transient-Party,D,0,0,1
320,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,A,0,0,1
321,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
322,Portugal,Corporate,0,1,No Deposit,0,Transient,A,0,0,0
323,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
325,Portugal,Corporate,0,0,No Deposit,0,Transient,E,0,0,0
327,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
331,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
332,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
334,Non Portugal,Online TA,0,3,No Deposit,0,Transient,A,0,0,0
335,Non Portugal,Direct,0,1,No Deposit,0,Transient,E,1,2,0
336,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,1,1,0
338,Non Portugal,Corporate,0,0,No Deposit,0,Transient,A,0,0,0
339,Portugal,Offline TA/TO,1,0,Non Refund,46,Transient,A,0,0,1
342,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,0,0
343,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,D,0,2,0
345,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
347,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
348,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,0,1
349,Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
350,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
351,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
353,Portugal,Direct,1,0,No Deposit,0,Transient,A,0,0,1
354,Non Portugal,Online TA,0,1,No Deposit,0,Transient,F,0,1,1
356,Non Portugal,Aviation,0,0,No Deposit,0,Transient,D,0,0,0
360,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
361,Non Portugal,Groups,0,0,Refundable,0,Transient-Party,A,0,0,0
362,Non Portugal,Online TA,0,1,No Deposit,0,Transient,E,0,1,1
363,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
366,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
367,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,0,2,0
368,Non Portugal,Groups,0,4,No Deposit,0,Transient-Party,A,0,0,0
369,Portugal,Online TA,0,0,No Deposit,0,Transient,E,1,0,0
371,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
372,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,1,1,0
373,Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,1
374,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
375,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
376,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
377,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
378,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,0,0,1
379,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,3,0
380,Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
381,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
382,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
383,Portugal,Groups,0,0,No Deposit,0,Transient-Party,E,0,0,0
387,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,2,0
388,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
390,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
391,Portugal,Groups,0,0,No Deposit,0,Transient-Party,D,0,0,1
393,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
397,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
403,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
404,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,2,1
405,Non Portugal,Groups,0,0,Non Refund,0,Transient,A,0,0,1
407,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,D,1,0,0
409,Portugal,Direct,0,0,No Deposit,0,Transient,F,0,0,0
413,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
414,Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
415,Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
416,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
418,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
420,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,2,0
422,Non Portugal,Online TA,0,0,No Deposit,0,Group,A,0,2,0
424,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
425,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,3,1
427,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Group,D,0,0,0
429,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,2,0
432,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
434,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,1
435,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
437,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,1
438,Non Portugal,Online TA,0,0,No Deposit,0,Transient,C,0,1,0
439,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
440,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
441,Portugal,Offline TA/TO,0,0,Non Refund,79,Transient,A,0,0,1
442,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
443,Non Portugal,Direct,0,0,No Deposit,0,Transient,F,0,2,1
444,Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,1,0,0
445,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,1,0
448,Portugal,Online TA,0,3,No Deposit,0,Transient-Party,E,0,2,0
449,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,1,1
450,Portugal,Groups,0,0,Non Refund,0,Transient,D,0,0,1
452,Portugal,Complementary,0,2,No Deposit,0,Transient,E,1,2,0
453,Portugal,Direct,0,0,No Deposit,0,Transient,A,0,1,1
455,Portugal,Direct,0,0,No Deposit,0,Transient-Party,A,0,0,0
456,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,1
457,Non Portugal,Offline TA/TO,0,2,No Deposit,4,Transient-Party,A,0,0,0
458,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
459,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
460,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
461,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,1,0
462,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
463,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
466,Portugal,Direct,0,0,No Deposit,0,Transient,D,1,1,0
467,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
468,Portugal,Offline TA/TO,0,0,Non Refund,0,Transient-Party,A,0,0,1
469,Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,3,1
472,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,1,2,0
473,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
477,Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,1,0
479,Portugal,Groups,0,0,Non Refund,31,Transient,A,0,0,1
480,Non Portugal,Groups,0,4,No Deposit,0,Transient-Party,A,0,0,0
481,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
485,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,3,0
490,Portugal,Direct,0,1,No Deposit,0,Transient,A,0,0,0
492,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
494,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,E,0,0,0
495,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
496,Portugal,Groups,1,0,No Deposit,0,Transient-Party,A,0,0,1
497,Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,0,0
499,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
500,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,1,0
501,Non Portugal,Online TA,0,2,No Deposit,0,Transient-Party,A,0,2,0
505,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
507,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,4,0
508,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,2,0
510,Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,2,1
511,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,0,0
512,Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
513,Portugal,Groups,0,0,No Deposit,122,Transient-Party,A,0,0,0
514,Non Portugal,Online TA,0,1,No Deposit,0,Transient,B,0,3,0
515,Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
516,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,2,0
523,Portugal,Groups,0,0,No Deposit,34,Transient-Party,A,0,0,1
524,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,0,1
525,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
526,Non Portugal,Direct,0,2,No Deposit,0,Transient,A,0,2,0
532,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
533,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
534,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
537,Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
538,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
540,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
